urlID,Name,Career_length,Career_WS/48,Career_OBPM,Career_DBPM,Career_BPM,Career_VORP,Draft_pick,Undrafted,Retired,Rookie_age,Guard1,Forward1,Center1,G1,MP1,PER1,TS1,3PAr1,FTr1,ORB%1,DRB%1,TRB%1,AST%1,STL%1,BLK%1,TOV%1,USG%1,OWS1,DWS1,WS1,WS/48_1,OBPM1,DBPM1,BPM1,VORP1,Guard2,Forward2,Center2,G2,MP2,PER2,TS2,3PAr2,FTr2,ORB%2,DRB%2,TRB%2,AST%2,STL%2,BLK%2,TOV%2,USG%2,OWS2,DWS2,WS2,WS/48_2,OBPM2,DBPM2,BPM2,VORP2
robinla01,Larry Robinson,7,-0.05685714285714286,-4.285714285714286,-2.2142857142857144,-6.514285714285714,-0.01428571428571429,Undrafted,1,1,23,1,0,0,36,425,7.6,0.429,0.007,0.18,7.5,5.7,6.6,11.4,1.8,0.1,14.3,18.2,-0.4,0.2,-0.1,-0.016,-3.7,-1.6,-5.3,-0.4,1,0,0,1,6,-9.3,0.2,0,0,38.5,0,18.3,22.9,0,0,16.7,43,-0.1,0,-0.1,-0.434,-8.4,-4.2,-12.6,0
robinru01,Rumeal Robinson,6,0.024333333333333335,-2.1999999999999997,-1.05,-3.25,-0.06666666666666667,10,0,1,24,1,0,0,47,674,11.7,0.478,0.045,0.331,3.1,8.5,5.8,28.5,2.3,0.7,21.5,21.6,-0.5,0.5,-0.1,-0.004,-2.7,-1.4,-4.1,-0.4,1,0,0,81,2220,14.9,0.503,0.112,0.296,3,7.6,5.2,29.3,2.3,0.7,16.4,23.3,0.7,1.7,2.4,0.053,0,-1.1,-1.1,0.5
schefst01,Steve Scheffler,7,0.13942857142857143,-1.0857142857142859,-2.057142857142857,-3.185714285714286,0.0,39,0,1,23,0,0,1,39,227,12.4,0.612,0,0.538,10.3,12.5,11.4,5.3,1.3,0.5,7.7,9.8,0.5,0.1,0.6,0.132,-0.5,-0.5,-1.1,0.1,0,0,1,11,61,16.6,0.735,0,1.333,16.9,7.4,12.4,0,2.4,1,6.5,10.3,0.2,0,0.3,0.22,1.3,-3,-1.8,0
schindw01,Dwayne Schintzius,8,0.019499999999999997,-5.7375,1.0250000000000001,-4.7125,-0.17500000000000004,24,0,1,22,0,0,1,42,398,10.1,0.458,0.013,0.258,8.2,24.5,16.8,6.2,0.2,4.4,16.5,21.6,-0.5,0.8,0.2,0.027,-6.5,0.3,-6.2,-0.4,0,0,1,33,400,10.6,0.45,0.034,0.103,11.5,20.3,15.9,7,0.7,4.1,13.4,14.7,-0.1,0.4,0.4,0.045,-4.4,0.5,-3.8,-0.2
scottde01,Dennis Scott,10,0.0849,0.9399999999999998,-1.73,-0.79,0.73,4,0,1,22,1,0,0,82,2336,13,0.504,0.282,0.172,2.8,8.3,5.5,9.3,1.3,0.6,9.1,24.4,1.4,1.2,2.6,0.054,0.3,-2.2,-1.9,0.1,0,1,0,18,608,14.4,0.496,0.269,0.215,2.5,9.8,6.1,9.6,1.6,0.9,7.9,26.9,0.4,0.4,0.7,0.059,0.3,-2.4,-2.1,0
simmoli01,Lionel Simmons,7,0.055,-1.7000000000000004,1.042857142857143,-0.6714285714285714,1.0285714285714287,7,0,1,22,0,1,0,79,2978,15.4,0.476,0.008,0.334,7.2,19.7,13.3,17.7,1.9,1.8,13.4,25.3,-0.9,3.6,2.7,0.044,-1.4,1.5,0.1,1.6,0,1,0,78,2895,16.5,0.505,0.004,0.314,5.5,18.1,11.8,17.6,2.2,2.7,14.2,22.2,0.8,3.5,4.3,0.071,-1,2,1,2.2
smithto02,Tony Smith,9,0.01588888888888889,-2.5555555555555554,-0.8555555555555556,-3.388888888888889,-0.12222222222222223,51,0,1,22,1,0,0,64,695,10.9,0.477,0.032,0.259,4.2,7.5,5.9,27.6,2.1,1,22,19.7,-0.3,0.8,0.5,0.037,-3.1,-0.2,-3.3,-0.2,1,0,0,63,820,10.1,0.435,0.039,0.265,4.2,6.3,5.3,20,2.5,0.6,13.7,19.5,-0.5,0.6,0.1,0.008,-3.1,-1.2,-4.3,-0.5
spencfe01,Felton Spencer,12,0.08283333333333334,-3.516666666666667,0.30833333333333335,-3.2083333333333335,-0.16666666666666666,6,0,1,23,0,0,1,81,2099,13.8,0.581,0.003,0.661,14.1,21.8,17.7,1.6,1.2,3.7,13.5,11.7,3.5,2.1,5.6,0.128,-1.6,0.1,-1.4,0.3,0,0,1,61,1481,11.2,0.495,0,0.538,12.1,20.6,16.2,4.7,0.9,3.2,14.6,13.8,0.7,1.2,2,0.064,-2.7,0.5,-2.2,-0.1
thomair01,Irving Thomas,1,-0.057,-5.8,-0.5,-6.3,-0.1,Undrafted,1,1,25,0,1,0,26,108,7.3,0.388,0,0.42,15.7,17.5,16.7,13.5,1.9,0.5,18,29.1,-0.3,0.2,-0.1,-0.057,-5.8,-0.5,-6.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,
toolsan01,Andy Toolson,2,0.027,-2.75,-2.7,-5.45,-0.05,Undrafted,1,1,25,0,1,0,47,470,8.4,0.495,0.258,0.266,8.6,8.2,8.4,9.3,1.5,0.3,14.8,15.3,0.1,0.5,0.6,0.057,-1.6,-0.2,-1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,
vaughlo01,Loy Vaught,11,0.081,-2.481818181818182,-0.5545454545454546,-3.0090909090909084,0.17272727272727276,13,0,1,22,0,1,0,73,1178,12.1,0.51,0.006,0.206,11.1,20.9,16,4.8,0.8,1.2,11.1,15.2,0.8,1.4,2.2,0.091,-2.8,-0.4,-3.1,-0.3,0,1,0,79,1687,13.7,0.517,0.009,0.125,10.5,23.3,16.9,6.2,1.1,1.1,10.2,16.3,1.5,2.6,4.1,0.117,-2,0.5,-1.4,0.2
vrankst01,Stojko Vrankovic,5,0.0194,-5.459999999999999,-0.36000000000000015,-5.76,-0.16,Undrafted,1,1,27,0,0,1,31,166,8.8,0.484,0,0.346,10.9,22.1,16.9,3.1,0.3,10,28.6,21.3,-0.4,0.3,-0.1,-0.026,-8.4,2.4,-5.9,-0.2,0,0,1,19,110,11.2,0.496,0,0.375,8.4,19.1,14,6,0,9.2,21.2,18.5,-0.1,0.2,0.1,0.037,-5.8,3.2,-2.5,0
willija01,Jayson Williams,9,0.07433333333333332,-2.6999999999999997,-0.8888888888888887,-3.5999999999999996,0.011111111111111096,21,0,1,22,0,1,0,52,508,8,0.49,0.012,0.348,9.3,15.2,12.3,4.7,0.9,0.7,17.7,19.4,-0.4,0.4,0.1,0.006,-4.8,-2.1,-6.9,-0.6,0,1,0,50,646,7.4,0.421,0,0.427,11.1,14.6,12.8,2.7,1.6,1.9,15.2,19.6,-0.8,0.6,-0.3,-0.02,-5.8,-1.7,-7.5,-0.9
willike03,Kenny Williams,4,0.11775,-0.22500000000000003,0.04999999999999998,-0.14999999999999997,0.35,46,0,1,21,0,1,0,75,527,13.9,0.547,0.017,0.279,12.6,15.8,14.3,8.5,1,3.5,16.9,19.3,0.4,0.4,0.7,0.068,-1.6,-0.8,-2.3,0,0,1,0,60,565,16.4,0.532,0.018,0.197,13.3,12.1,12.6,10.5,1.7,4.3,8.5,19.2,1,0.6,1.6,0.133,0.4,0.6,1,0.4
